x,y,z
1.00202,0.478955,0.808473
1.00144,0.478333,0.807047
1.00071,0.478787,0.805884
1.00033,0.478584,0.804743
0.999391,0.47858,0.803942
0.998958,0.479267,0.804132
0.99997,0.478345,0.804532
0.99818,0.480015,0.80379
0.997753,0.480293,0.80408
1.29245,0.194517,0.812163
1.29245,0.194517,0.812163
1.28703,0.199017,0.815326
1.28361,0.204422,0.818601
1.27962,0.207053,0.821076
1.27673,0.20901,0.826082
1.27349,0.211399,0.827632
1.27031,0.21128,0.831659
1.26814,0.212455,0.836688
1.26527,0.216662,0.838398
1.26203,0.218684,0.842354
1.25945,0.22116,0.845618
1.25431,0.222866,0.848851
1.25075,0.225782,0.849896
1.24527,0.230458,0.851611
1.24094,0.234363,0.853327
1.23671,0.237635,0.855616
1.23153,0.242041,0.85806
1.22425,0.246454,0.860897
1.2183,0.249574,0.864878
1.21287,0.256978,0.866339
1.20778,0.262021,0.868119
1.20018,0.267428,0.870419
1.19392,0.273884,0.873516
1.18617,0.278561,0.876312
1.18089,0.282503,0.877504
1.17495,0.286599,0.87874
1.16865,0.28928,0.88155
1.16511,0.293603,0.879746
1.16191,0.298606,0.878721
1.15695,0.303771,0.877846
1.15245,0.307788,0.879089
1.14931,0.312435,0.879529
1.14354,0.317778,0.879472
1.13939,0.323795,0.879309
1.13585,0.327029,0.878181
1.13124,0.331528,0.876621
1.12663,0.336309,0.876026
1.12258,0.341436,0.875533
1.11772,0.346128,0.875343
1.11348,0.350231,0.874878
1.10924,0.354134,0.873495
1.10652,0.356614,0.873544
1.10107,0.359515,0.872473
1.09668,0.364615,0.871752
1.09189,0.367906,0.871414
1.08842,0.370379,0.870284
1.08405,0.372662,0.870305
1.08084,0.377642,0.869247
1.07534,0.382179,0.868621
1.07187,0.386708,0.868118
1.06844,0.390254,0.8663
1.06426,0.392915,0.865667
1.06007,0.398145,0.863506
1.05622,0.401672,0.863276
1.05157,0.406282,0.861266
1.04745,0.411855,0.86022
1.04313,0.41455,0.860034
1.03879,0.417376,0.858804
1.03617,0.42053,0.858396
1.03176,0.424711,0.857196
1.02891,0.428888,0.853627
1.02475,0.431355,0.85219
1.02112,0.434545,0.850123
1.01745,0.438215,0.850302
1.01493,0.440556,0.848621
1.01231,0.443765,0.848083
1.01,0.446082,0.847842
1.00649,0.448493,0.844987
1.00437,0.451284,0.842108
1.00112,0.453719,0.840133
0.999524,0.456433,0.838483
0.998126,0.4593,0.837796
0.996715,0.461931,0.834681
0.995088,0.463866,0.831656
0.993145,0.467792,0.82796
0.990619,0.469838,0.826777
0.990263,0.472665,0.824779
0.98923,0.474992,0.823079
0.987984,0.475572,0.821512
0.987708,0.475617,0.818922
0.990783,0.47505,0.81911
0.992688,0.474526,0.818801
0.995176,0.475175,0.817103
0.99524,0.476479,0.815083
0.995738,0.478282,0.813554
0.995927,0.478606,0.813082
0.995275,0.479938,0.810975
0.993787,0.481533,0.809163
0.993391,0.482422,0.809034
1.286,0.191885,0.815524
1.286,0.191885,0.815524
1.27787,0.195279,0.819883
1.27168,0.198801,0.822938
1.26695,0.203296,0.824798
1.26332,0.207361,0.825474
1.25979,0.209977,0.826095
1.25585,0.210878,0.828931
1.25051,0.212531,0.832637
1.2453,0.215031,0.835212
1.24033,0.217555,0.837041
1.2347,0.219824,0.839088
1.22987,0.22211,0.841661
1.22641,0.224782,0.844429
1.22273,0.227717,0.847754
1.21819,0.231005,0.850442
1.21336,0.236721,0.852405
1.20827,0.242435,0.855536
1.20174,0.245937,0.859247
1.19399,0.250059,0.862158
1.18689,0.254647,0.864815
1.17909,0.259779,0.867357
1.171,0.265189,0.869952
1.16403,0.270139,0.872556
1.15822,0.274938,0.87491
1.15206,0.279325,0.876539
1.14574,0.28374,0.877611
1.14051,0.289157,0.877669
1.13603,0.294602,0.8775
1.13206,0.299072,0.878081
1.1277,0.302697,0.87838
1.12359,0.307069,0.878478
1.12056,0.312039,0.87821
1.11697,0.316178,0.878342
1.11232,0.31988,0.8793
1.10835,0.323239,0.879307
1.10474,0.326451,0.879432
1.10111,0.330227,0.880055
1.0973,0.334308,0.880413
1.09348,0.337728,0.881033
1.09062,0.340992,0.882013
1.08806,0.345091,0.882483
1.08516,0.348546,0.882242
1.08165,0.350674,0.882259
1.07739,0.354121,0.880729
1.07284,0.35867,0.877984
1.06862,0.362898,0.876705
1.06507,0.367513,0.875592
1.06209,0.372561,0.873737
1.05911,0.378146,0.872013
1.05561,0.381993,0.870482
1.05188,0.384923,0.868822
1.04851,0.388181,0.867153
1.04613,0.391163,0.865424
1.04395,0.395002,0.863987
1.04113,0.398918,0.862152
1.03799,0.402008,0.859726
1.03539,0.405714,0.858137
1.03288,0.410461,0.857033
1.02969,0.414657,0.856188
1.02693,0.418592,0.855354
1.02457,0.422018,0.854227
1.02156,0.424292,0.853059
1.01821,0.426672,0.852389
1.01513,0.430404,0.852384
1.01214,0.43394,0.85281
1.00925,0.436493,0.853173
1.00604,0.439047,0.853054
1.00228,0.441667,0.852515
0.999272,0.444401,0.850671
0.996979,0.446585,0.84824
0.99432,0.44847,0.846139
0.992239,0.450206,0.844721
0.991233,0.451599,0.843848
0.991055,0.453422,0.842789
0.990673,0.45554,0.840854
0.989407,0.457168,0.838571
0.98789,0.457865,0.836939
0.987117,0.458962,0.834903
0.985364,0.460557,0.832966
0.983212,0.461434,0.832044
0.981856,0.462104,0.831779
0.980313,0.463514,0.831231
0.978992,0.465933,0.830035
0.977731,0.467678,0.828504
0.976789,0.468201,0.827256
0.978363,0.467521,0.82684
0.981502,0.466306,0.826592
0.982814,0.466204,0.825447
0.983383,0.466899,0.824265
1.25851,0.199395,0.818831
1.25851,0.199395,0.818831
1.25485,0.203857,0.821005
1.25062,0.208257,0.822286
1.24619,0.211332,0.823974
1.24051,0.215452,0.826765
1.23522,0.219416,0.829602
1.22865,0.222228,0.831003
1.22308,0.226868,0.834591
1.21793,0.230774,0.8364
1.21317,0.235024,0.8376
1.20732,0.237808,0.838658
1.20199,0.240158,0.839264
1.1971,0.242933,0.839699
1.19137,0.243377,0.841878
1.18666,0.243917,0.842429
