y,z
0.48097,0.827388
0.482087,0.826287
0.482526,0.823732
0.479399,0.823356
0.478453,0.822441
0.172855,0.822919
0.172855,0.822919
0.176611,0.822541
0.184366,0.823588
0.188859,0.823583
0.191315,0.82424
0.193277,0.825419
0.194274,0.826637
0.19532,0.825726
0.197543,0.827509
0.199565,0.827375
0.20112,0.827581
0.203086,0.830578
0.205805,0.831773
0.208313,0.831106
0.209505,0.831867
0.209746,0.83241
0.211547,0.833248
0.21517,0.833616
0.220357,0.833873
0.222288,0.837999
0.226419,0.839113
0.232405,0.839812
0.235286,0.841007
0.237124,0.839503
0.241398,0.837547
0.246768,0.838385
0.24936,0.839026
0.251261,0.841219
0.253088,0.842358
0.255572,0.842626
0.258713,0.842609
0.261816,0.842807
0.266238,0.843263
0.268749,0.843863
0.271169,0.842719
0.276491,0.842216
0.279018,0.842928
0.281445,0.843975
0.28681,0.845244
0.290706,0.845928
0.294579,0.846528
0.299408,0.846097
0.30426,0.844274
0.307035,0.844615
0.312322,0.843658
0.316719,0.843022
0.319046,0.843566
0.322617,0.842772
0.328147,0.843084
0.332229,0.844708
0.337002,0.844716
0.341177,0.845007
0.345256,0.845549
0.351718,0.843479
0.35725,0.841747
0.363517,0.841146
0.367519,0.839667
0.374171,0.837494
0.380502,0.835415
0.386064,0.833458
0.390957,0.832367
0.394205,0.831502
0.397452,0.832697
0.401568,0.830357
0.406002,0.831726
0.40984,0.830965
0.412123,0.830277
0.414956,0.829709
0.417459,0.830617
0.419731,0.828967
0.42126,0.82854
0.423708,0.827915
0.426507,0.827202
0.428516,0.824847
0.431756,0.822303
0.4352,0.820628
0.437988,0.819366
0.440629,0.819025
0.443437,0.818927
0.446423,0.816105
0.449219,0.813837
0.45146,0.811564
0.453119,0.810792
0.457252,0.809801
0.458736,0.810258
0.458367,0.810614
0.458958,0.809903
0.458342,0.811716
0.458617,0.811424
